"","SRR15885102","SRR15885103","SRR15885104","SRR15885105","SRR15885106","SRR15885107","SRR15885108","SRR15885109","SRR15885110","SRR15885111","SRR15885112","SRR15885113","SRR15885114","SRR15885115","SRR15885116","SRR15885117","SRR15885118","SRR15885119","SRR15885120","SRR15885121","SRR15885122","SRR15885123","SRR15885124","SRR15885125","SRR15885126","SRR15885127","SRR15885128","SRR15885129","SRR15885130","SRR15885131","SRR15885132","SRR15885133","SRR15885134","SRR15885135","SRR15885136","SRR15885137","SRR15885138","SRR15885139","SRR15885140","SRR15885141","SRR15885142","SRR15885143","SRR15885144","SRR15885145","SRR15885146","SRR15885147","SRR15885148","SRR15885149","SRR15885150","SRR15885151","SRR15885152","SRR15885153","SRR15885154","SRR15885155","SRR15885156","SRR15885157","SRR15885158","SRR15885159","SRR15885160","SRR15885161","SRR15885162","SRR15885163","SRR15885164","SRR15885165","SRR15885166","SRR15885167","SRR15885168","SRR15885169","SRR15885170","SRR15885171","SRR15885172","SRR15885173","SRR15885174","SRR15885175","SRR15885176","SRR15885177","SRR15885178","SRR15885179","SRR15885180","SRR15885181","SRR15885182","SRR15885183","SRR15885184","SRR15885185","SRR15885186","SRR15885187","SRR15885188","SRR15885189","SRR15885190","SRR15885191","SRR15885192","SRR15885193","SRR15885194","SRR15885195","SRR15885196","SRR15885197","SRR15885198","SRR15885199","SRR15885200","SRR15885201","SRR15885202","SRR15885203","SRR15885204","SRR15885205","SRR15885206","SRR15885207","SRR15885208","SRR15885209","SRR15885210","SRR15885211","SRR15885212","SRR15885213","SRR15885214","SRR15885215","SRR15885216","SRR15885217","SRR15885218","SRR15885219","SRR15885220","SRR15885221","SRR15885222","SRR15885223","SRR15885224","SRR15885225","SRR15885226","SRR15885227","SRR15885228","SRR15885229","SRR15885230","SRR15885231","SRR15885232","SRR15885233","SRR15885234","SRR15885235","SRR15885236","SRR15885237","SRR15885238","SRR15885239","SRR15885240","SRR15885241","SRR15885242","SRR15885243","SRR15885244","SRR15885245","SRR15885246","SRR15885247","SRR15885248","SRR15885249","SRR15885250","SRR15885251","SRR15885252","SRR15885253","SRR15885254","SRR15885255","SRR15885256","SRR15885257","SRR15885258","SRR15885259","SRR15885260","SRR15885261","SRR15885262","SRR15885263","SRR15885264","SRR15885265","SRR15885266","SRR15885267","SRR15885268","SRR15885269","SRR15885270","SRR15885271","SRR15885272","SRR15885273","SRR15885274","SRR15885275","SRR15885276","SRR15885277","SRR15885278","SRR15885279","SRR15885280","SRR15885281","SRR15885282","SRR15885283","SRR15885284","SRR15885285","SRR15885286","SRR15885287","SRR15885288","SRR15885289","SRR15885290","SRR15885291","SRR15885292","SRR15885293","SRR15885294","SRR15885295","SRR15885296","SRR15885297","SRR15885298","SRR15885299","SRR15885300","SRR15885301","SRR15885302","SRR15885303","SRR15885304","SRR15885305","SRR15885306","SRR15885307","SRR15885308","SRR15885309","SRR15885310","SRR15885311","SRR15885312","SRR15885313","SRR15885314","SRR15885315","SRR15885316","SRR15885317","SRR15885318","SRR15885319","SRR15885320","SRR15885321","SRR15885322","SRR15885323","SRR15885324","SRR15885325","SRR15885326","SRR15885327","SRR15885328","SRR15885329","SRR15885330","SRR15885331","SRR15885332","SRR15885333","SRR15885334","SRR15885335","SRR15885336","SRR15885337","SRR15885338","SRR15885339","SRR15885340","SRR15885341","SRR15885342","SRR15885343","SRR15885344","SRR15885345","SRR15885346","SRR15885347","SRR15885348","SRR15885349","SRR15885350","SRR15885351","SRR15885352","SRR15885353","SRR15885354","SRR15885355","SRR15885356","SRR15885357","SRR15885358","SRR15885359","SRR15885360","SRR15885361","SRR15885362","SRR15885363","SRR15885364","SRR15885365","SRR15885366","SRR15885367","SRR15885368","SRR15885369","SRR15885370","SRR15885371","SRR15885372","SRR15885373","SRR15885374","SRR15885375","SRR15885376","SRR15885377","SRR15885378","SRR15885379","SRR15885380","SRR15885381","SRR15885382","SRR15885383","SRR15885384","SRR15885385","SRR15885386","SRR15885387","SRR15885388","SRR15885389","SRR15885390","SRR15885391","SRR15885392","SRR15885393","SRR15885394","SRR15885395","SRR15885396","SRR15885397","SRR15885398","SRR15885399","SRR15885400","SRR15885401","SRR15885402","SRR15885403","SRR15885404","SRR15885405","SRR15885406","SRR15885407","SRR15885408","SRR15885409","SRR15885410","SRR15885411"
"Lachnospiraceae_.Eubacterium..eligens.group",1446,78,108,46,35,0,887,0,36,0,0,0,171,78,0,0,0,0,0,0,0,0,0,19,0,345,1581,38,920,37,55,193,12,287,62,0,14,0,0,453,0,0,0,131,1216,113,51,226,494,1415,0,0,12,921,0,0,4300,0,124,0,0,0,1077,0,441,0,105,0,0,24,2613,16,0,0,110,17,0,14,21,0,704,438,0,0,0,0,82,848,0,558,17,0,0,93,2699,0,0,0,13,0,0,766,267,21,110,17,0,0,0,0,643,0,30,1311,0,117,8,84,0,0,0,0,109,0,196,0,0,0,21,0,0,0,8,0,0,18,0,0,231,0,0,0,599,0,39,0,0,63,0,14,498,0,465,10,82,531,33,0,0,642,15,318,0,22,883,0,191,0,0,249,0,0,33,34,936,1684,25,128,36,8,0,0,0,1463,0,17,7,0,0,0,0,0,22,0,0,59,52,0,0,32,376,73,0,0,0,4,4002,838,0,3568,2027,188,0,0,0,526,0,10,567,0,62,0,253,0,35,616,0,1005,0,1018,0,117,389,0,15,0,387,300,644,271,27,940,0,0,121,0,779,34,331,135,0,10,294,299,12,384,1529,3691,0,0,490,0,0,0,1655,88,1048,0,133,1232,42,0,1067,0,15,4566,741,1002,0,0,0,204,138,0,274,249,386,0,718,20,1131,0,58,0,19,116,24,96,1024,0,0,713,1258,0,86,5,9,226,78,47
"Monoglobaceae_Monoglobus",27,142,28,20,58,6,165,31,3,0,0,4,14,59,0,0,3,66,0,259,37,500,3,0,37,75,379,83,411,578,53,225,101,59,227,40,89,439,191,94,34,22,77,286,409,60,499,147,288,513,393,316,101,325,82,34,306,248,352,140,67,628,307,123,186,199,28,6,549,86,145,59,82,6,79,21,599,8,0,96,0,0,34,0,0,6,30,0,0,5,166,0,0,591,42,151,0,5,6,0,0,55,17,32,31,4,0,0,0,0,0,1464,107,42,4,7,18,90,0,0,6,0,130,39,88,3,19,0,70,0,0,0,7,8,0,85,0,0,22,0,465,0,102,4,32,0,17,68,2,15,82,18,26,22,65,0,12,0,142,57,10,0,0,34,393,0,18,935,626,106,0,0,571,669,393,213,132,532,193,675,0,38,0,82,2,42,31,52,0,0,0,0,10,0,2,52,21,2,13,37,369,0,0,0,3,151,107,15,79,0,117,166,327,0,0,28,89,44,116,6,38,0,47,50,6,75,509,87,0,87,20,160,692,239,25,282,177,339,423,110,240,267,0,0,9,521,0,359,49,34,17,0,438,48,1067,104,364,558,0,36,13,36,0,33,22,55,56,103,17,154,138,0,27,21,13,31,301,39,0,0,236,27,189,0,51,6,150,0,119,64,17,102,49,0,38,0,134,178,258,5,0,15,93,4,28,10,20,10,2,0
"Oscillospiraceae_Flavonifractor",83,21,100,42,17,355,69,435,202,0,188,8,22,711,38,33,80,49,1002,1332,0,19,39,0,5,22,0,18,0,0,114,11,25,61,24,12,7,16,26,7,38,158,99,77,77,0,0,38,0,93,297,21,57,0,175,0,0,69,200,35,74,31,12,186,17,17,80,252,42,0,0,0,95,1238,19,87,170,0,303,257,56,16,62,143,358,11,17,511,95,43,18,0,305,394,76,76,333,86,61,453,37,40,70,227,74,132,0,0,0,147,502,53,18,0,247,10,13,590,0,32,78,0,1,1055,27,1088,545,485,796,76,46,8,0,21,46,154,11,0,8,0,49,0,66,12,0,652,23,103,22,56,39,45,8,50,64,14,11,193,338,0,0,34,491,0,0,198,0,74,71,19,0,111,31,10,86,0,0,26,16,0,68,116,0,280,0,0,17,6,101,677,502,21,20,0,25,0,0,47,0,0,20,6,0,73,595,4,84,6,283,21,0,15,11,614,535,7,0,21,0,0,13,0,35,0,0,7,65,44,527,20,888,14,43,0,28,8,48,0,10,36,7,138,80,28,190,206,72,32,26,6,74,21,9,0,349,0,66,108,9,0,24,20,0,13,0,119,87,142,17,68,9,964,81,88,385,0,64,11,110,0,12,0,6,254,27,31,106,0,32,0,0,122,46,278,151,1680,165,583,0,154,881,5,192,0,23,4,0,0,52,0
"Oscillospiraceae_Oscillibacter",127,9,341,12,41,139,219,545,73,0,4,0,0,419,20,0,6,0,0,0,0,112,4,0,19,24,52,17,0,107,499,28,9,38,0,3,11,5,91,86,18,0,0,164,10,33,0,86,4,142,69,134,59,6,0,19,7,0,323,136,6,91,14,190,15,5,153,176,94,5,58,11,112,0,98,88,0,0,5,220,20,0,101,37,156,0,190,14,31,101,11,0,4,380,106,81,249,79,4,0,0,64,18,233,143,49,0,0,0,11,155,132,15,14,0,0,10,510,0,0,6,105,42,1543,80,697,123,0,2543,5,0,0,0,17,0,16,39,0,57,0,700,0,82,39,18,0,56,265,167,39,153,54,69,34,19,21,0,0,289,26,0,69,0,33,9,17,87,9,0,101,0,0,0,15,312,37,0,56,450,8,0,61,0,0,0,21,85,108,0,280,5145,1372,75,0,81,137,0,722,0,255,7,0,0,117,1056,73,237,211,134,533,0,146,104,278,0,91,26,18,14,0,20,0,37,0,0,92,0,97,47,0,0,14,179,86,120,41,17,114,0,96,0,0,0,124,23,139,59,122,31,0,0,0,31,33,76,32,0,113,0,0,72,144,921,11,0,783,47,38,48,330,20,10,60,16,191,12,40,35,10,2257,29,8,48,0,0,225,48,0,166,4,27,0,47,0,179,0,230,191,6,6,109,18,82,0,60,45,38,244,129,27
"Lachnospiraceae_.Eubacterium..ventriosum.group",37,27,41,83,10,131,83,37,72,0,0,7,632,13,16,0,0,125,0,11,7,11,0,0,21,30,15,75,273,7,0,6,32,159,13,13,21,0,7,5,510,0,69,58,46,88,348,104,167,168,84,16,0,40,495,0,16,0,125,60,101,35,66,0,328,90,146,0,37,9,96,6,37,0,0,18,126,0,0,16,37,10,200,0,13,0,184,29,0,21,18,0,0,0,10,53,107,0,0,0,0,0,28,3,136,43,0,0,0,0,0,25,67,282,0,410,9,12,0,0,0,68,0,72,111,0,618,20,650,0,0,0,0,75,0,0,0,0,61,0,0,0,204,161,12,0,111,40,0,0,66,0,64,0,60,30,2,0,438,73,124,0,9,10,38,0,0,387,77,19,0,0,27,13,145,21,24,8,78,3,0,843,0,161,0,941,52,199,0,616,0,124,351,13,0,458,0,33,14,54,36,28,0,117,0,54,114,213,0,0,37,1890,31,0,49,72,36,19,142,0,298,120,11,0,5,158,0,316,0,201,1016,31,0,10,33,38,261,14,8,147,36,0,0,10,11,49,127,41,188,21,0,0,71,17,43,16,0,96,0,11,10,120,0,94,1108,48,10,507,105,40,78,0,110,5,77,63,10,37,0,27,133,472,13,6,9,0,20,0,49,0,23,199,24,0,22,0,5,167,952,47,0,61,122,0,48,0,10,37,0,0
"Prevotellaceae_Paraprevotella",411,0,239,96,0,534,2,0,3,0,392,0,293,0,171,0,190,129,0,0,18,182,405,0,13,329,46,75,0,76,0,442,0,0,724,682,24,311,105,352,0,84,0,0,0,69,159,210,0,0,0,0,168,28,0,0,32,0,140,72,267,47,0,0,55,0,0,0,0,0,271,0,0,0,23,115,0,0,0,87,42,18,0,39,1,0,492,0,7291,826,0,0,0,357,1625,0,235,0,0,0,0,96,50,0,0,0,0,0,0,244,0,0,88,0,0,208,170,0,0,0,174,0,781,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,1218,0,34,0,0,0,0,0,0,240,0,0,0,492,215,151,0,0,142,0,0,0,0,507,2,1,0,0,124,0,0,45,0,0,0,2,0,241,25,0,0,1,0,485,0,0,0,98,380,0,0,31,0,0,1916,329,1690,2713,0,0,0,0,50,21,0,2343,2282,681,900,0,0,0,69,525,139,0,3,112,51,85,580,0,120,0,0,0,12,0,81,153,0,366,0,0,521,294,109,0,0,369,372,125,0,0,0,0,0,599,20,0,109,39,2050,286,32,130,0,59,0,0,6,273,66,4,0,0,0,0,0,0,10,0,149,0,0,5,358,261,302,107,0,1302,726,0,977,11,0,7,0,0,0,0,46,0,0,0,0,1,0,0,0,0,187,0,0,0,4,0,0,4,191,0
"Peptostreptococcaceae_Romboutsia",40,791,69,689,138,14,11,12,29,0,16,90,15,48,0,165,20,28,97,94,36,11,7,5,128,17,20,202,401,6,59,0,24,517,16,284,51,0,11,82,77,15,413,23,57,318,14,50,19,54,21,41,7,24,136,1010,72,40,0,0,24,14,53,8,18,11,66,0,6,14,16,10,0,361,53,9,0,0,55,88,30,34,536,74,81,45,162,0,1554,0,0,0,273,77,0,13,0,0,0,0,0,52,0,73,47,26,0,0,10,0,58,32,90,0,41,0,0,51,63,105,16,1130,79,55,44,136,0,123,15,0,0,186,7,0,9,47,0,0,68,0,325,0,58,0,74,0,6,34,0,12,20,0,53,10,7,9,12,36,106,24,22,12,0,128,0,29,10,0,56,34,19,89,3355,47,0,101,13,44,77,0,0,106,16,21,0,27,51,17,2189,0,4,0,606,2,134,0,52,26,128,57,1152,0,83,54,21,8,63,82,291,0,87,14,8,14,195,7,9,16,0,78,10,379,17,13,123,43,20,21,7,0,141,156,12,109,30,12,186,10,0,22,0,71,14,0,0,131,78,33,0,284,21,0,34,25,123,38,0,27,0,12,116,25,0,139,281,38,600,13,631,12,103,19,25,10,21,934,32,110,11,699,10,326,74,0,69,10,29,0,25,192,14,114,480,27,31,15,0,71,54,0,51,0,43,0,20,0,19,13,0,429
"Erysipelatoclostridiaceae_Erysipelotrichaceae.UCG.003",0,4,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,2,0,0,116,9,0,0,17,5,15,160,237,0,0,0,0,153,0,151,261,742,87,0,704,0,0,338,1066,6,508,0,204,0,758,346,0,213,0,0,107,0,3,99,322,0,0,0,165,185,0,0,770,56,2,0,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,99,0,0,253,0,318,0,24,0,0,58,0,171,283,384,102,50,0,0,51,30,0,557,0,42,173,0,0,618,0,0,204,8,78,0,0,0,0,0,0,0,7,9,0,59,0,0,0,66,0,26,0,0,8,46,7,0,19,0,0,0,0,0,0,0,0,184,0,0,0,0,279,142,562,0,26,107,0,2,0,1,0,94,245,17,6,0,133,2,0,0,0,0,5,0,152,0,0,0,0,0,0,0,9,208,31,5,0,9,0,0,115,595,14,0,405,0,45,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,334,20,7,8,0,3,0,0,0,0,0,176,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,4
"Oscillospiraceae_NK4A214.group",121,54,370,0,2278,0,265,247,234,8,73,9,136,0,76,0,26,0,0,0,22,52,0,0,0,0,480,98,10,1114,0,103,0,201,50,0,20,8,71,20,0,32,0,152,7,214,0,527,30,133,0,79,976,71,63,0,15,0,5,885,9,193,240,5,142,3,518,0,0,207,134,164,258,0,1145,250,0,0,0,45,743,143,184,0,0,0,406,0,0,131,127,0,0,5,146,497,0,497,0,0,0,486,0,197,462,189,3,0,0,39,13,72,51,394,0,114,42,0,0,0,34,0,48,0,420,0,0,0,0,0,0,0,230,38,0,127,7,0,263,11,0,0,113,793,1846,18,0,312,22,536,460,568,220,13,103,562,17,0,444,219,93,103,0,55,54,0,354,0,7,302,0,0,0,53,87,509,300,272,500,77,0,0,0,0,0,267,312,0,13,1670,0,309,0,0,228,1389,24,220,358,434,189,0,10,151,0,37,34,451,0,492,88,371,114,0,5,174,23,37,124,0,13,0,155,9,0,935,0,91,0,0,0,166,392,285,209,135,0,724,98,576,90,0,0,517,109,38,770,145,96,27,24,4,27,427,0,256,0,326,9,7,1312,551,0,103,91,181,408,120,269,370,74,0,104,84,117,96,100,259,0,0,69,124,59,0,1282,215,258,0,189,43,24,57,151,0,33,0,152,12,0,11,0,140,0,11,93,241,289,870,310,0
"Streptococcaceae_Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,140,0,0,0,598,0,0,0,238,0,0,0,37,225,0,544,388,0,0,0,77,0,0,197,0,2,16,0,0,0,107,0,0,40,0,0,720,114,0,39,0,9,0,0,0,0,0,0,276,3860,2,0,0,0,0,0,0,23,0,7,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,192,0,0,0,55,555,0,67,25,61,26,0,0,235,0,0,161,39,0,0,681,0,7,545,0,0,396,13,130,0,22,112,0,40,95,0,16,7,34,69,0,26,36,813,17,98,10,0,24,9,689,0,59,790,10,12,33,0,0,0,0,0,0,0,0,0,103,17,0,0,45,0,29,0,0,0,0,0,360,0,0,0,0,0,0,3,0,0,0,0,4,0,0,77,0,0,0,0,26,82,0,168,0,174,0,760,0,196,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,50,0,0,0,0,0,6,0,0,0,2,125,0,0,0,0,0,0,0,0,0,0,32,128,0,344,10,0,33,20,38
"Ruminococcaceae_UBA1819",6,42,57,0,145,232,334,20,35,0,638,0,40,852,0,24,29,102,0,42,0,21,8,0,2,6,6,15,0,114,223,16,6,19,0,0,5,17,23,21,0,7,0,14,5,0,0,53,5,39,15,22,27,5,0,0,0,0,63,7,0,49,0,64,14,0,172,100,33,8,0,0,14,796,24,39,0,0,127,43,15,0,0,0,162,0,0,0,121,36,9,0,0,41,20,42,48,13,239,437,0,88,27,315,152,31,0,0,0,512,210,0,0,0,117,37,9,1080,4,25,40,15,58,157,65,576,53,3648,1085,14,8,0,10,27,14,0,412,0,6,0,306,11,36,94,106,1349,22,107,9,113,53,21,0,17,24,9,0,121,36,8,0,27,1703,12,3,176,0,7,0,34,0,0,0,0,38,7,0,31,42,40,0,145,0,23,0,20,62,384,38,1195,759,0,214,0,631,52,13,13,0,118,31,8,0,60,598,4,56,12,83,18,14,17,10,527,36,16,15,4,7,0,9,0,13,0,0,103,57,9,23,0,226,0,30,38,16,5,13,19,13,14,0,0,0,112,11,31,15,25,15,0,0,0,14,10,24,0,11,46,20,0,27,17,0,11,0,41,18,0,0,31,12,56,9,355,72,0,0,0,6,413,75,0,62,19,47,19,18,690,260,0,9,5,32,432,510,514,106,0,0,0,129,19,174,6,0,240,48,356,93,30
"Family.XI_Parvimonas",0,0,0,0,15,4,472,382,23,0,0,6,768,0,41,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,21,0,0,0,0,4,0,0,0,125,0,0,403,0,0,0,0,0,0,0,0,0,0,0,343,24,0,0,0,104,0,24,0,0,9,19,269,0,0,0,0,0,0,723,21,0,63,4,928,0,355,12,0,725,0,0,25,0,15,0,313,551,19,0,0,0,0,0,116,0,1309,0,0,0,0,575,3087,45,0,9,0,25,21,0,4,0,0,58,58,0,14,0,3,105,311,734,36,423,0,31,0,10,3,30,228,15,5,0,0,53,0,150,0,0,83,0,9,0,9,0,0,0,0,0,214,6,0,0,0,52,0,35,0,0,0,0,0,38,0,0,29,8,77,2,121,0,16,0,0,17,0,0,0,8,0,166,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,50,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,145,0,0,0,0,0,0,0,0,113,3392,117,0,8,68,319,0,0,13,39,12,11,0,105,0,0,0,0,0,3,0,16,0,53,0,40,208
"Prevotellaceae_Alloprevotella",5,0,0,0,0,0,0,4,0,0,0,0,0,4,0,1472,0,0,6,1,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,8,0,5,1,0,0,1,0,0,0,0,537,0,0,0,0,0,0,0,3,0,0,77,0,7,207,0,3,0,0,0,0,0,142,0,1,3,8,0,7,1941,0,0,0,0,2555,0,46,11,6,0,0,1696,7,0,0,0,0,0,0,15,0,0,247,0,0,0,0,0,2,0,0,0,0,0,11,0,0,1030,0,0,809,3,38,1,0,0,0,0,200,6,0,0,0,4,7,0,1,0,0,0,1,0,8,0,0,9,221,3,8,1995,0,1,1,338,0,0,2,190,1,20,0,4,1,6,3,0,0,0,0,0,5,0,0,0,0,0,6,11,5,4,10,16,0,5,0,0,0,0,0,0,5,0,6,0,54,25,0,0,0,4,5,7,5,8720,0,6,0,1281,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,5,0,0,2,0,5,11,18,0,0,0,7,0,5,0,0,0,8,0,0,0,0,0,7787,0,0,0,0,14,4,0,0,4,3,3,0,0,1057,0,996,1163,0,132,0,4,2,0,20,7,5,0,25,7,0,0,0,15,359,0,0,0,5,3,10,3
"Barnesiellaceae_Coprobacter",0,0,122,0,0,60,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,47,5,0,0,36,6,122,0,0,0,86,0,4,0,0,6,15,17,3,0,60,0,0,0,2,4,213,4,37,0,16,0,22,0,6,0,0,0,14,148,23,11,0,16,0,0,0,31,0,2,28,117,0,11,0,0,0,0,0,0,0,49,0,0,0,315,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,179,0,0,0,0,30,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,56,0,14,0,0,0,3,3,0,82,0,9,34,0,7,0,0,486,0,0,0,15,20,0,0,8,0,0,12,0,0,0,0,0,46,7,81,0,44,0,2,0,0,0,419,0,0,0,0,0,0,0,1,10,0,56,0,0,91,0,25,0,307,198,29,0,118,0,183,0,3,24,0,0,11,4,0,24,0,39,0,25,0,0,0,89,24,0,0,0,27,76,0,9,0,0,86,11,0,25,0,5,0,0,0,0,56,14,0,0,0,0,0,0,27,0,0,0,0,0,102,0,34,61,0,0,0,0,0,0,0,24,0,34,0,53,6,3,56,6016,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,6,0,632,0,0
"Marinifilaceae_Odoribacter",239,226,97,22,16,506,36,480,1636,0,140,0,0,0,202,28,2,0,0,0,0,70,8,0,0,83,58,77,0,8,0,22,0,0,40,0,23,18,17,77,0,200,0,0,7,33,15,96,0,133,15,0,338,25,0,12,0,0,0,94,11,10,106,119,34,0,113,0,67,60,36,64,70,0,145,31,0,0,0,53,24,3,94,0,0,9,26,0,0,395,17,4,0,101,53,326,131,0,0,0,1,628,16,144,63,681,0,2,0,82,249,258,0,359,0,0,153,0,0,22,0,0,48,69,209,342,0,0,0,7,18,0,1220,3,0,0,1572,0,108,0,217,0,127,121,147,0,2,145,0,0,361,186,274,30,0,17,29,176,605,14,0,261,249,6,21,47,50,0,0,65,0,0,0,8,122,75,0,53,80,5,0,131,0,0,2,113,13,0,11,30,46,0,27,31,471,32,154,62,5,69,24,17,70,68,6,0,0,72,77,314,7,188,92,146,130,87,13,37,25,1,35,0,132,0,2,28,46,28,258,5,0,25,181,16,34,42,78,154,127,83,47,0,15,89,98,32,0,35,137,4,0,0,9,110,0,25,0,193,0,0,15,144,0,0,0,0,57,23,78,7,3,6,28,314,85,62,26,10,0,22,287,22,111,48,370,7,32,0,32,9,56,0,104,0,28,0,461,5,0,24,0,67,77,0,47,618,440,182,69,93
"Lactobacillaceae_Lactobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,17,0,0,0,0,0,0,0,0,8,0,0,9,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,18,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,10,0,0,0,0,0,0,0,5864,0,3,0,0,0,0,0,0,0,0,0,6,0,13,5,0,5,0,483,0,10,602,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,63,0,0,0,0,0,22,0,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,316,0,0,0,0,4
"Oscillospiraceae_UCG.003",419,25,102,14,0,184,0,0,112,0,22,0,97,0,211,0,0,0,0,0,5,207,0,0,0,22,131,33,18,98,52,7,0,157,12,0,30,27,166,112,0,67,0,48,6,140,59,182,54,91,0,117,132,93,70,23,23,0,15,115,37,259,61,106,26,0,64,0,109,147,52,49,55,0,69,223,157,0,0,125,250,72,62,0,0,0,57,0,0,49,133,0,0,58,119,185,0,224,0,0,0,354,78,22,56,87,0,0,0,10,0,365,34,143,3,118,212,0,0,0,0,55,39,0,86,0,0,0,0,19,0,0,47,70,0,11,50,0,66,0,0,0,487,40,7,0,0,354,169,251,315,116,110,67,11,42,50,455,103,122,15,48,147,15,152,0,534,0,39,101,0,0,0,18,0,135,114,102,41,22,2,16,0,0,0,339,936,0,0,0,0,24,8,123,57,199,187,352,76,146,0,6973,0,232,65,261,0,117,339,146,141,213,26,0,0,82,72,13,20,0,34,0,120,0,0,122,0,10,0,26,0,134,61,119,148,13,0,157,60,287,48,0,0,8,97,328,234,99,107,9,0,0,62,243,0,244,0,0,0,0,105,584,0,0,56,39,35,34,153,34,48,0,22,87,177,172,294,134,0,1078,367,78,60,0,625,215,48,0,0,45,22,82,64,0,15,0,232,0,0,0,0,731,891,0,228,217,44,155,722,197
"Lachnospiraceae_Lachnospiraceae.ND3007.group",14,6,5,0,4,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,26,197,0,0,17,603,90,27,233,10,0,84,0,38,95,24,44,247,32,133,32,0,0,256,86,60,62,715,267,169,280,221,0,499,0,61,83,0,172,112,47,43,150,9,87,23,0,0,195,282,260,65,20,0,0,37,0,5,0,0,0,0,0,11,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,47,0,9,0,10,0,0,0,0,700,0,4,0,0,9,15,0,0,0,0,0,0,0,0,0,6,35,0,0,0,0,172,0,0,0,0,0,0,0,0,5,0,0,0,0,165,14,287,0,248,380,49,133,0,78,0,355,175,94,0,255,33,177,15,207,0,310,40,7,0,28,0,3288,500,69,64,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,12,7,0,0,0,0,12,0,0,17,451,454,240,0,0,226,29,43,0,4,116,8,114,13,0,0,42,33,65,44,0,20,341,33,58,237,0,317,198,50,124,1513,0,0,6,0,0,206,108,27,0,0,130,86,0,285,92,147,0,18,118,0,0,0,0,0,6,0,8,7,0,0,0,0,0,17,0,0,0,0,0,0,5,0,4,6,0,0,12,103,78,9,0,0,9,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0
