"","Adenoma10.2757","Adenoma11.2775","Adenoma12.2799","Adenoma13.2803","Adenoma14.2817","Adenoma15.2847","Adenoma16.2873","Adenoma17.2937","Adenoma18.2967","Adenoma19.2971","Adenoma2.2113","Adenoma20.2995","Adenoma21.3129","Adenoma22.3133","Adenoma23.3141","Adenoma24.3217","Adenoma25.3273","Adenoma26.3373","Adenoma27.3379","Adenoma28.3391","Adenoma29.3399","Adenoma3.2123","Adenoma30.3509","Adenoma4.2143","Adenoma5.2243","Adenoma6.2453","Adenoma7.2475","Adenoma8.2555","Adenoma9.2717","Cancer1.2355","Cancer10.2567","Cancer11.2573","Cancer12.2575","Cancer13.2579","Cancer14.2611","Cancer15.2613","Cancer16.2619","Cancer17.2625","Cancer18.2629","Cancer19.2633","Cancer2.2455","Cancer20.2667","Cancer21.2671","Cancer22.2703","Cancer23.2705","Cancer24.2727","Cancer25.2735","Cancer26.2763","Cancer27.2771","Cancer28.2777","Cancer29.2801","Cancer3.2513","Cancer30.2863","Cancer4.2521","Cancer5.2523","Cancer6.2535","Cancer7.2537","Cancer8.2543","Cancer9.2547","Healthy1.2027","Healthy10.3087","Healthy11.3123","Healthy12.3211","Healthy13.3241","Healthy14.3245","Healthy15.3247","Healthy16.3251","Healthy17.3257","Healthy18.3293","Healthy19.3339","Healthy2.2779","Healthy20.3341","Healthy21.3347","Healthy22.3363","Healthy23.3367","Healthy24.3403","Healthy25.3405","Healthy26.3407","Healthy27.3439","Healthy28.3499","Healthy29.3529","Healthy3.3021","Healthy30.3291.66","Healthy4.3023","Healthy5.3043","Healthy6.3061","Healthy7.3063","Healthy8.3073","Healthy9.3075"
"Erysipelotrichaceae_Dielma",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,37,0,0,0,20,0,0,0,71,0,0,0,0,11,0,8,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,4,0,0,278,0,0,0,0,0,42,14,0,0,14,0,0,5,0,0,0,6,0,0,0,0,0,10,0,0,2,0,12,0,0,17
"Eggerthellaceae_Gordonibacter",24,55,0,99,33,0,25,26,0,95,0,91,0,6,0,22,0,0,13,7,56,27,0,0,0,0,20,0,0,10,29,17,0,0,0,0,41,0,0,0,0,0,0,11,0,17,0,0,6,0,20,0,0,0,28,0,0,7,31,0,0,0,0,0,54,7,0,26,0,0,30,6,0,0,0,3,8,26,26,51,22,0,0,0,62,0,0,0,15
"Rikenellaceae_Rikenella",0,0,0,0,0,0,0,0,0,801,0,2,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillaceae_Ligilactobacillus",38,11,89,0,0,15,0,0,10,3,0,0,106,10,0,0,0,2,9,0,0,26,7,21,0,19,26,7,5,0,19,19,7,16,8,0,177,0,0,0,0,0,0,0,8,76,19,21,17,0,20,22,12,16,5,0,75,31,48,0,0,4,15,17,5,7,0,12,0,0,0,0,20,4,0,35,10,7,0,0,4,35,5,7,0,0,26,0,10
"Erysipelotrichaceae_Holdemania",0,28,0,31,0,0,14,27,13,16,24,4,6,0,0,7,0,0,11,13,0,14,0,54,5,0,44,34,8,0,52,78,6,21,7,0,0,15,79,9,0,0,8,27,0,4,0,0,28,16,0,0,7,14,36,20,32,32,20,0,13,0,6,13,51,28,0,32,3,24,14,22,6,0,0,0,9,22,29,24,46,18,7,0,138,0,0,13,45
"Campylobacteraceae_Campylobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,3,0,0,0,0,20,0,0,761,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,6,7,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10
"Selenomonadaceae_Megamonas",0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillaceae_Weissella",0,0,73,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,365,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,158,0,0,0,29,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0
"Oxalobacteraceae_Oxalobacter",0,0,0,0,0,0,0,0,0,20,0,0,0,12,0,0,0,19,0,0,0,0,0,0,23,0,0,0,4,14,0,0,0,0,0,16,0,0,0,0,0,92,0,0,0,12,0,0,18,0,0,0,62,22,0,13,0,0,0,0,101,0,0,0,0,17,0,46,70,0,0,0,0,0,17,0,0,71,0,256,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridiaceae_Candidatus.Stoquefichus",0,0,0,9,6,0,20,0,0,0,12,0,0,0,0,0,0,0,0,9,61,0,0,0,0,0,0,0,0,9,0,0,0,21,0,0,363,0,0,0,0,0,0,0,0,4,0,0,0,0,55,0,0,0,0,0,0,0,0,0,20,0,0,0,0,67,0,0,0,0,0,76,0,12,79,0,5,324,0,0,0,9,0,0,0,0,0,0,28
"Anaerovoracaceae_.Eubacterium..nodatum.group",0,24,0,7,0,4,4,0,0,4,61,35,0,0,0,0,0,0,0,5,58,0,0,16,0,12,5,0,0,0,117,4,0,36,19,7,72,0,43,0,0,0,0,84,13,11,0,0,0,0,0,15,0,0,74,0,0,0,8,0,4,0,9,234,24,13,0,30,0,0,41,0,0,33,0,0,0,0,0,6,0,3,10,0,30,59,6,143,9
"Micrococcaceae_Rothia",0,4,130,3,28,0,148,4,0,9,11,0,0,0,4,14,0,10,0,0,0,10,0,8,0,0,17,0,32,35,0,0,27,0,0,0,32,7,0,256,24,0,0,4,9,12,6,33,0,4,11,0,0,0,0,7,120,0,9,0,0,0,2,7,4,0,8,0,0,0,6,0,6,15,0,13,0,8,56,0,24,5,17,0,7,5,17,0,0
"Succinivibrionaceae_Succinivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacteriaceae_Raoultella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonellaceae_Allisonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,255,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"Sutterellaceae_Sutterella",0,0,0,0,0,0,0,0,19,36,22,0,0,0,0,0,0,7,11,10,0,0,0,0,18,0,0,0,4,0,0,0,5,16,93,0,7,0,0,0,0,0,0,0,32,0,0,0,0,8,0,17,36,0,334,53,0,11,0,0,0,0,0,0,0,0,75,128,226,228,0,0,58,4,6,0,8,16,0,0,0,0,0,0,0,0,0,0,0
"Hungateiclostridiaceae_Ruminiclostridium",0,0,0,32,27,0,0,0,0,0,0,22,0,10,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,10,0,0,182,0,84,0,0,0,0,0,0,0,0,0,39,0,0,43,0,0,0,0,9,0,0,0,0,0,0,0,28,0,8,0,0,0,71,0,0,0,0,0,0,0,0,0,22,0,0,0,0
"Acholeplasmataceae_Anaeroplasma",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthellaceae_CHKCI002",0,0,0,0,0,0,0,0,0,7,62,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0
"Lachnospiraceae_GCA.900066575",9,20,54,12,0,12,0,13,0,17,17,6,44,0,7,0,0,4,11,6,0,8,19,0,8,4,15,0,22,0,21,7,0,0,0,5,0,7,8,25,6,58,30,15,0,0,0,0,14,47,0,0,27,67,0,11,16,7,11,0,10,6,0,46,17,5,0,8,10,78,22,11,33,0,22,0,21,0,4,0,22,22,57,24,98,0,6,11,0
"Ruminococcaceae_Anaerotruncus",0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,110,0,9,8,0,66,16,58,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,16,0,0,0,0,0,20,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,7,0,7,0,0,29,0,0,32
"Christensenellaceae_Christensenella",0,0,0,11,0,0,0,10,0,15,22,0,0,7,0,0,6,0,0,0,0,12,0,0,0,0,0,0,6,9,18,0,0,0,0,5,0,0,0,0,37,0,0,0,0,22,0,0,16,0,0,0,0,24,32,6,0,0,0,0,0,0,0,0,0,9,0,41,7,0,0,0,2,0,0,20,0,0,23,0,22,0,2,0,34,37,0,66,12
"Peptostreptococcaceae_Peptostreptococcus",0,0,13,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,40,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"Lachnospiraceae_Catenibacillus",0,15,0,0,0,8,0,7,0,16,24,28,0,0,0,0,10,0,18,5,0,0,0,7,0,0,0,0,16,0,0,0,0,23,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,8,0,30,0,0,137,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,29,0,0,0,9,0,0,0,0,0,38,0,0
"Ruminococcaceae_Anaerofilum",0,0,0,18,0,0,10,0,0,0,0,0,0,0,0,0,3,7,0,6,8,0,0,0,6,0,10,0,10,6,0,0,0,0,8,17,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,4,0,7,0,6,0,0,0,20,6,0,0,0,0,0,0,9,0,0,0,16,0,2,4,18,0,3,5,18,49,0,25,0,69,0,0,19,0
"Lachnospiraceae_Lachnospiraceae.UCG.009",0,0,0,0,0,0,0,0,14,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,43,0,0,0,0,8,0,0,0,0,21,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,26,0,0,0,0,0,14,0,0,0,0,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0,11,10
"Defluviitaleaceae_Defluviitaleaceae.UCG.011",11,0,0,21,0,0,0,0,0,0,13,54,6,0,0,0,21,11,9,9,9,0,0,0,6,0,0,15,19,3,5,0,24,25,0,8,0,0,12,0,18,7,17,2,0,0,0,0,0,3,0,14,11,59,0,16,0,0,0,0,0,0,0,0,35,11,0,30,0,22,37,9,0,0,7,0,14,12,0,16,24,0,24,0,12,0,0,6,20
"Erysipelatoclostridiaceae_Coprobacillus",0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,2,0,0,8,0,10,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,2,0,0,0,0,7,0,15,0,0
"Anaerofustaceae_Anaerofustis",11,0,0,24,0,6,0,0,0,0,5,8,0,0,0,0,29,0,7,4,6,0,50,6,3,0,0,0,0,3,0,0,6,0,0,0,27,0,8,0,0,3,14,4,0,5,0,0,0,0,26,0,0,15,4,0,0,21,18,0,0,0,5,13,0,9,0,0,0,0,0,0,0,5,0,0,0,7,0,49,0,5,0,8,105,0,0,0,0
"Lachnospiraceae_Oribacterium",0,0,5,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0
"Erysipelotrichaceae_Merdibacter",0,0,0,0,0,9,0,0,0,0,80,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,0,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,13,0,0,0,0,0,6,0,0
"Atopobiaceae_Atopobium",5,0,18,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,47,0,0,0,0,4,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,4,4,5,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8
"Ruminococcaceae_Harryflintia",0,0,34,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasteurellaceae_Aggregatibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccaceae_UCG.009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,72,23,0,0,0,0,0,39,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_Candidatus.Soleaferrea",0,21,0,0,0,0,0,8,0,11,0,0,0,0,0,0,3,15,6,6,0,0,0,22,0,0,0,0,8,7,76,0,0,0,0,0,0,0,3,0,0,8,0,0,0,4,0,0,0,0,0,3,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,16,9,0,0,0,9,0,0,8,5,0,0,0,5,0,0,0,0,7,0
"Oscillospiraceae_UCG.007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,17,0,0,0,16,10,0,0,0,42,7,0,0,0
"Lactobacillaceae_Lactiplantibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelotrichaceae_Erysipelotrichaceae.UCG.006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_Phocea",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,8,0,0,0
"Lachnospiraceae_.Bacteroides..pectinophilus.group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiaceae_Clostridium.sensu.stricto.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
"Butyricicoccaceae_UCG.008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Marinifilaceae_Sanguibacteroides",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobiaceae_Olsenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Lachnospiraceae.UCG.008",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Anaerostignum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharimonadaceae_TM7x",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Coriobacteriales.Incertae.Sedis_Raoultibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"Lachnospiraceae_Cuneatibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseriaceae_Eikenella",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistaceae_Synergistes",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Victivallaceae_Victivallis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistaceae_Pyramidobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethanoligenenaceae_Acetanaerobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
