"","ERR3446940","ERR3446965","ERR3446966","ERR3446967","ERR3446968","ERR3446969","ERR3446970","ERR3446971","ERR3446972","ERR3446973","ERR3446974","ERR3446975","ERR3446976","ERR3446977","ERR3446978","ERR3446979","ERR3446980","ERR3446981","ERR3446982","ERR3446983","ERR3446984","ERR3446985","ERR3446986","ERR3446987","ERR3446988","ERR3446989","ERR3446990","ERR3446991","ERR3446992","ERR3446993","ERR3446994","ERR3446995","ERR3446996","ERR3446997","ERR3446998","ERR3446999","ERR3447000","ERR3447001","ERR3447002","ERR3447003","ERR3447004","ERR3447005","ERR3447006","ERR3447007","ERR3447008","ERR3447009","ERR3447010","ERR3447011","ERR3447012","ERR3447013","ERR3447014","ERR3447015","ERR3447016","ERR3447017","ERR3447018","ERR3447019","ERR3447020","ERR3447021","ERR3447022","ERR3447023","ERR3447024","ERR3447025","ERR3447026","ERR3447027","ERR3447028","ERR3447029","ERR3447030","ERR3447031","ERR3447032","ERR3447033","ERR3447034","ERR3447035","ERR3447036","ERR3447037","ERR3447038","ERR3447039","ERR3447040","ERR3447041","ERR3447042","ERR3447043","ERR3447044","ERR3447045","ERR3447046","ERR3447047","ERR3447048","ERR3447049","ERR3447050","ERR3447051","ERR3447052","ERR3447053","ERR3447054","ERR3447055","ERR3447056","ERR3447057","ERR3447058","ERR3447059","ERR3447060","ERR3447061","ERR3447062","ERR3447063","ERR3447064","ERR3447065","ERR3447066","ERR3447067","ERR3447068"
"Synergistaceae_Cloacibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,45,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,276,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0
"Acholeplasmataceae_Anaeroplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptococcaceae_Peptococcus",27,6,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11,126,4,13,30,0,0,0,0,8,0,110,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,9,0,131,0,0,5,0,4,3,0,348,14,0,19,11,0,0,0,0,0,31,10,58,26,0,4,0,0,0,0,0,5,0,54,9,32,8,0,0,0,0
"Lachnospiraceae_Lachnospiraceae.UCG.003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,20,0,0,0,0,0,496,0,21,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_.Bacteroides..pectinophilus.group",0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0
"Oscillospiraceae_Oscillospira",0,18,27,0,0,0,12,0,0,12,0,0,0,6,0,0,4,6,0,3,0,21,30,11,0,0,4,0,0,0,0,10,0,0,10,17,0,4,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,14,0,7,0,14,0,7,31,3,0,6,6,35,13,12,0,15,5,0,0,0,15,0,9,0,8,0,4,0,19,11,35,13,12,0,0,25,4,0,11,0,13,21,22,0,0,0
"Actinomycetaceae_Actinomyces",0,0,4,0,4,65,0,0,113,0,41,8,3,48,0,11,0,0,26,0,0,0,3,0,13,0,6,0,0,0,39,8,5,0,0,0,4,0,107,47,12,15,0,0,55,0,46,7,80,31,5,143,5,16,22,12,0,0,0,0,45,6,3,0,6,0,38,0,0,0,0,0,24,3,7,24,8,0,0,0,0,0,101,0,28,0,2,0,0,12,0,8,0,0,7,2,0,53,0,0,0,15,0,11,24
"Hungateiclostridiaceae_Ruminiclostridium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,22,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0
"Lachnospiraceae_Marvinbryantia",0,0,0,0,35,0,13,0,15,0,11,0,0,0,0,0,10,0,6,0,0,0,0,4,14,0,11,9,0,0,0,29,0,0,0,0,0,0,52,0,0,0,0,0,0,31,33,0,54,31,0,25,81,0,31,29,0,15,25,0,0,0,0,30,0,13,57,0,0,11,0,0,0,0,34,0,0,5,16,0,16,6,19,0,55,0,29,0,0,0,3,4,0,0,13,0,0,21,8,30,0,0,0,5,0
"Gemellaceae_Gemella",0,0,0,8,0,0,0,0,11,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,65,0,8,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,13,0,3,0,0,0,0,0,6,0,14,4,0,5,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,14,0,36
"Erysipelotrichaceae_Merdibacter",0,0,26,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,17,0,0,0,0,0,0,0,0,8,0,0,70,0,26,0,4,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,50,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,73,0,0,0,0,0,0,0,9,0,0,0,0,11,4,0
"Bifidobacteriaceae_Bifidobacterium",0,0,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,9,0,0,7,0,0,0,4,0,0,6,0,0,0,0,0,4,0,18,0,0,0,8,0,0,0,7,80,0,6,35,13,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,19,15,9,0,0,10,0,0,0,2,0,10,0,0,16,48,0,47,0,0,8,0,4,4,0,0,0,0,0,0,0,0,28,0,0,14,0,10,2,0
"Streptococcaceae_Lactococcus",0,0,0,0,0,0,0,0,82,0,0,4,2,0,0,0,0,0,10,4,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,62,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"Anaerovoracaceae_.Eubacterium..brachy.group",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,4,0,0,0,0,0,0,0,0,30,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,10,0,14,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"Lactobacillaceae_Weissella",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,9,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_Anaerotruncus",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,7,4,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,39,0,0,0,0,0,9,0,52,0,0,0,0,0,5,5,29,0,0,6,0,0,7,2,0,0,0,0,5,0,9,0,13,0,0,0,5,5,0,0,17,7,15,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0
"Lachnospiraceae_Oribacterium",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
"Oscillospiraceae_Intestinimonas",5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,18,0,0,0,0,20,0,15,0,0,0,0,27,33,4,0,9,0,0,0,0,0,0,0,0,23,2,8,0,48,0,7,10,2,84,9,32,0,0,8,17,0,0,0,19,0,0,0,0,0,0,34,47,0,0,0,0,0,0,0
"Eubacteriaceae_Eubacterium",0,6,0,0,32,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,78,0,0,4,0,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelotrichaceae_Holdemania",26,11,10,3,0,0,0,4,8,0,15,0,3,7,0,0,0,0,0,0,0,5,2,3,0,4,0,0,13,4,82,0,28,0,9,0,0,0,0,0,0,31,0,0,5,17,2,10,0,13,0,9,0,0,10,0,9,26,8,0,29,8,8,0,0,0,0,0,0,7,12,0,0,0,0,0,43,0,0,10,18,12,0,6,0,11,0,8,0,6,0,3,10,0,0,9,7,13,0,0,0,0,0,5,44
"Victivallaceae_Victivallis",0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,61,0,0,0,0,0,33,0,0,0,12,0,0,0,9,7,0,0,0,6,0,0,22,0,0,33,4,0,0,2,0,0,0,0,6,0,0,0,0,12,0,0,0,97,19,0,74,4,2,5,0,0,0
"Ruminococcaceae_DTU089",6,0,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,35,0,27,0,5,5,0,0,2,0,0,0,0,29,40,17,0,0,0,0,0,0,6,0,0,0,0,4,0,0,9,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,19,3,0,0,16,0,0,0,5,10,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"Peptostreptococcaceae_Peptostreptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,16,17,0,29,0,9
"Veillonellaceae_Allisonella",0,0,0,0,0,0,0,29,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,9,0,0,0,68,0,0,0,0,0,0,27,0,0,39,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
"Micrococcaceae_Rothia",0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,73,12,0,0,0,6,0,0,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,74,0,0,12,0,0,6,0,0,0,0
"Erysipelatoclostridiaceae_Candidatus.Stoquefichus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Lachnospiraceae.FCS020.group",0,0,0,0,0,0,11,0,0,0,5,0,0,10,0,15,0,0,0,15,0,0,7,0,8,0,0,11,0,0,0,0,0,0,12,0,9,0,50,6,6,14,5,0,0,14,37,0,8,0,0,26,0,0,41,0,29,0,4,0,0,13,0,0,18,5,23,0,0,0,0,4,0,0,36,8,0,0,21,0,7,34,31,0,11,0,9,0,0,0,0,0,0,0,0,0,0,21,0,19,19,9,25,0,0
"Eggerthellaceae_Gordonibacter",0,0,0,0,9,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,11,0,0,0,14,0,56,0,0,0,0,8,0,0,0,7,0,0,31,0,0,30,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,31,0,0,12,6,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0
"Ruminococcaceae_Fournierella",0,0,0,0,0,0,10,5,0,0,2,0,0,0,0,3,0,0,5,0,0,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,27,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,47,0,71,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,66,0,0,0,54,0,0,0,78,0,0,4,0,0,0
"Synergistaceae_Synergistes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,82,0,0,0,0,0,0,0,0,71,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelotrichaceae_Dielma",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0
"Butyricicoccaceae_UCG.008",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,16,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,15,0,0,13,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0,4,10,0,0,34,0,0,5,7,5,0,0,0,0,0
"Butyricicoccaceae_UCG.009",0,9,3,0,0,0,11,0,0,0,7,0,0,4,0,0,0,6,6,9,22,2,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,10,0,0,27,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,3,0,13,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,14,0,0,8,4,0,0,0,0,0,0,0,7,9,10,26,9,0,0
"Pasteurellaceae_Aggregatibacter",0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,0
"Lachnospiraceae_Tuzzerella",13,16,0,0,0,0,0,4,9,6,0,0,0,71,0,0,0,4,12,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,2,5,0,0,0,0,0,11,0,0,10,2,0,0,0,3,0,0,0,22,68,0,7,11,0,0,0,0,0,8,0,0,0,4,0,13,0,0,2,0,0,0,0,0,6,0,20,0,0,34,3,0,0,0,0,10,9,0,2,7,0,10,4,26,0
"Lachnospiraceae_Hungatella",0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"Marinifilaceae_Sanguibacteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,7,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Lachnospiraceae_Frisingicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,4,0,0,0,0
"Anaerovoracaceae_.Eubacterium..nodatum.group",0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,9,0,33,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,5,0,0
"Lachnospiraceae_GCA.900066575",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_Anaerofilum",0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,21,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,3,6,0,0,2,0,3,0,0,6,13,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
"Eggerthellaceae_CHKCI002",0,0,0,0,0,0,0,0,0,0,0,0,16,0,7,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,18,0,0,0,0,0,0,0,0,0,7,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Defluviitaleaceae_Defluviitaleaceae.UCG.011",0,7,4,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,10,7,16,0,25,31,0,7,4,8,17,0,3,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,6,2,0,0,0,0,0,5,7,4,10,0,0,0,0,0,0,5,7,25,16,0,9,0,0,0,9,0
"Saccharimonadaceae_TM7x",0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6
"Atopobiaceae_Atopobium",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Neisseriaceae_Eikenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"Rikenellaceae_Rikenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"Lachnospiraceae_Shuttleworthia",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_Phocea",7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
"Lactobacillaceae_Lactiplantibacillus",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"Christensenellaceae_Christensenella",0,0,0,0,5,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_Candidatus.Soleaferrea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,6,0,5,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
"Oscillospiraceae_UCG.007",0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Ruminococcaceae_Paludicola",0,0,0,0,0,5,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0
"Anaerovoracaceae_S5.A14a",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Cuneatibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Lachnospiraceae.UCG.008",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
